Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score
Wikipedia,629705,where did you learn english? how come you're taking on a third language?,13,9,11,11,5,A2UFD1I8ZO1V4G,A2YFPO0N4GIS25,AYG3MF094634L,A38WUWONC7EXTO,A15DM9BMKZZJQ6,-1.1200492637766977
Wikipedia,244336,thanks very much for your edit to the &lt;url&gt; article. would you be interested in tackling the &lt;url&gt; of &lt;url&gt;?,23,16,24,21,25,A2QN0EGBRGJU1M,A2GSW5RBAT5LQ5,AO5E3LWBYM72K,A2ULMYRKQMNNFG,A3TFQK7QK8X6LM,1.3139550758835656
Wikipedia,627353,sir i think u hav many friends on wiki who can review articles well. can u pls consult any of them?,17,17,11,10,9,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,-0.24784296526355218
Wikipedia,448565,i can't find it.  maybe i didn't manage to guess the right name&#58 can you find it in your contribs?,17,9,16,16,9,A233ONYNWKDIYF,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,0.058396780131814596
Wikipedia,625810,i can't spend too much time&#44 and i'm no specialist&#44 but with those limitations i'd be willing to help out. btw&#44 how is your name pronounced?,14,17,17,11,17,AYG3MF094634L,A21753FQKCM5DQ,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.34609335173878819
Wikipedia,214411,|style=&#34vertical-align: middle&#58 padding: 3px&#58&#34 | i've started the badfinger wiki amd i need help.  you seem to know a lot about them&#44 could you please help out?,14,16,14,20,17,AYG3MF094634L,A1F4D2PZ7NNWTL,A3G7QIYLFOXFG7,AZOAW8JH5HJJK,A1Y3Z92RE62NPS,0.61924678870197447
Wikipedia,73465,&lt;url&gt;. i wonder if anyone will actually suspect a conflict of interest?,13,13,13,13,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,AIPK94CUWL45W,-0.26269524339555461
Wikipedia,460261,my edit on &lt;url&gt; was written by me&#44 not copied from a forum. out of curiousity&#44 which forum copied my post on wikipedia?,14,15,16,5,17,AYG3MF094634L,AO5E3LWBYM72K,ARYGQ46IMW8AU,A3CFNUD7VR2E1E,A34ZSF2JSRXIRP,-0.23312261211298252
Wikipedia,177439,these are my numbers: 7 years in wikipedia&#44 6 years as an admin&#44 570+ articles&#44 4 featured articles&#44 1 featured list&#44 21 good articles&#44 60 dyk's - after six years as an admin. i recently made some mistakes and i can understand if i am placed in some type of probation were i am monitored and forbidden to use my tools maybe for a year&#44 but do i really merit the removal of my adminship?,13,5,17,1,16,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A2AMGE57IJVSHF,A29B522D0BX6HN,-0.47353865070114332
Wikipedia,341534,i couldn't tell you why glam rock was there. better?,9,9,13,5,13,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,-0.96279312628347213
Wikipedia,567951,are you calling me a vandal for visiting your user page?  or am i just &lt;url&gt;?,9,10,5,16,13,A233ONYNWKDIYF,A2WKPCZU4U110T,A6YO9886DY2SC,AO5E3LWBYM72K,A1DTQSIIYIZL62,-0.81654736260215333
Wikipedia,590458,ok&#44 that's no problem. can you recommend any other users who would be able to train me?,17,17,20,19,17,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A1BJTTNDDFZ3ZP,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.97881738929082229
Wikipedia,623634,congratulations&#44 ogoncho! isn't there a barnstar for things like that?,11,16,21,21,17,AHH34KPTA2LSS,A26NYABOD7YBW8,A872FSFU7WV6W,A1F4D2PZ7NNWTL,A1RT9SQ9D9DLOV,0.84348277191679222
Wikipedia,193592,what's next? what have you got planned for the next 12 months?,17,14,18,21,13,A1R4VG71V6XECZ,A2WKPCZU4U110T,A1BJTTNDDFZ3ZP,A3E157ZN8XPUKJ,A1RT9SQ9D9DLOV,0.10638403146232003
Wikipedia,628156,since maddieson has not himself done any work on mazahua i would be interested in knowing which source he uses for his mazahua data. could you put a reference to his references here at the talk page&#44 just for  my curiosity?,15,17,14,21,11,A1RPVYUPJZGM9Z,A199E33VY97TR,AYG3MF094634L,AO5E3LWBYM72K,A3MN5VOZFQPNZF,0.48993857259727391
Wikipedia,543807,i'd be shocked if no one has asked you this yet&#44 but you do an enormous amount of work keeping the bio articles free of vandalism and nonsense as well as filling them up with useful content &#58) you seem like you could use a few extra buttons on your toolbar. are you interested in being nominated for adminship?,17,25,16,21,25,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,1.5018221885351892
Wikipedia,68487,thanks. as for the previous edits&#44 should i make a note on the user page that it's my account?,17,17,19,21,21,ANMGOZ451W9ZN,A22SZHZTF72TRM,AW6UIL04MLQ9N,A3H7G3TQXAYGYD,A117G4HSX1Y0LQ,0.94221475331486704
Wikipedia,360711,i have closed &lt;url&gt; as keep. do you see any objection to my suggestion of a change of name to \&#34list of kong kong category iii films\&#34?,17,13,13,21,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A00613921OIEGJA322163,ANVEDG15GV3QE,0.29310825715277278
Wikipedia,624652,i'm also having to use your link.  perhaps we should change the main page link to use the megaupload until we know that the main website is up?,17,16,19,21,17,A233ONYNWKDIYF,A22SZHZTF72TRM,A3BA2LVL6Y7YO7,AVHARSCRX7M9E,AMJAP6BGF5LVM,0.92615660286001078
Wikipedia,321142,hi&#44 i saw in a lot of biography articles are used the flag icon in the birth and death place by another wikipedian. how about your opinion about that?,9,17,13,17,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,AIPK94CUWL45W,0.20610424066426636
Wikipedia,612461,i've just noticed i wrote &#34it's possibly the most ''possible'' incident in his life&#34 for &#34possibly the most ''important''&#34&#44 so i may be more caught in the toils of flu than i thought. check i haven't done anything stupid&#44 and smooth out the text?,13,16,13,17,13,A233ONYNWKDIYF,A38WUWONC7EXTO,A1CIIX0CB0GR7H,A1F4D2PZ7NNWTL,A13CO3B2BRXQLZ,0.12415388025726053
Wikipedia,475425,was &lt;url&gt; by the user correct? it is supposed to be a redirect&#44 is it not?,9,17,13,19,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A3IHLWMZNBLUR4,0.15315225412739164
Wikipedia,161073,r\xe9nyi leaves out the other gruesome details and adds the context of the fortress.  do you know which details are in the most widespread and\/or original version of this tale?,13,13,13,14,17,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,APDWVWS2HMSFD,A28TXBSZPWMEU9,A2CE0KVP4A8J8K,-0.1906835160466005
Wikipedia,574481,i'm relatively new here. short of totally protecting the pages&#44 what strong-arm tactics do my colleagues have in mind?,15,17,5,17,13,A34A6MSJTD9A4L,AW6UIL04MLQ9N,A3MN5VOZFQPNZF,AC25X12LNYY6Y,A1DTQSIIYIZL62,0.0043309333533235296
Wikipedia,355457,some pictures are not mine&#44 but those that i have changed&#44 their own. and you can submit a complaint the owners of those photos?,13,13,13,13,17,A2VMJFBCB921NI,A2UBXHCHM2I6IL,A38WUWONC7EXTO,A1RT9SQ9D9DLOV,A1Y3Z92RE62NPS,-0.1178697349057253
Wikipedia,471850,by the way. can you edit your own talk page when it is protected?,17,13,14,15,11,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,0.037946767480934798
